,CEO,Company Name,Company website,Email,Emp_range,Founded Date,Location,Long_description,Phone,Short_description,Tags,e27_url
11,Color Experts India,Color Experts India,https://www.colorexpertsindia.com,,,January 2013,Bangladesh,"Professional Photo Editing Company with Eight Years of Expert Knowledge.
Color Experts India offers exceptional photo editing services that meet the needs of our clients. We have been providing our services since 2013 and have the experience and skills of providing high-quality services. At Color Experts India, we believe that the reason for being in business is to help our clients meet their needs.
Our largest  photo editing studios are modern and up to date with the latest best technology available for your best photo editing company of choice since our customers deserve nothing if not the best for every available retouching service. The vast facilities are available and spacious studios provide room for creativity and proper unlimited coordination capacity to ensure the possible outcome is not in any way tampered with. Tripod shades, External flash, digital cameras, multimedia equipment and proper digital labs are just a glimpse of what is in store for you at Color Experts India. 
Our CEO is inspires the team at Color Experts India to meet our core mandate of delivering exceptional snapshot editing solutions to our clients. Our dedicated photography editors provide multiple solutions to multiple clients. For instance, we offer 

Photo Editing or Retouching services to:
* Professional photographer
* Digital Photo Studios
* Ad-Agencies

Business Clients (E-commerce, Real-Estate, Etc.) and Individuals globally.
We know that each of our customers has different requirements and expectations. Before we embark on your task, we ensure that we have a personalized discussion with you to understand your photo editing needs. We aim to tailor our photo editing solutions to meet each of our client's needs.
Color Experts India offers high-quality retouching services at affordable prices. Our professionals meticulously work on your images to deliver fantastic outcomes. Contact us today, and let us start working on your project.",,Professional Photo Editing and Retouching Agency,Advertising Automotive Agency & Consulting Design E-commerce Media,https://e27.co/startups/color-experts-india
12,Vijay Dylan Kumar,ConnectUpz,https://connectupz.com,,,July 2017,Singapore,"ConnectUpz is a platform that promotes niche and independent businesses to their local community of shoppers that are scanning QR codes and businesses connect with their customers.

We enable small businesses to capture data and engage their customers while attracting new customers using geofenced adverting in the QR scanner app. 

We currently have over 2,000 merchants onboard from Singapore, Malaysia, Philippines and the United States.
Our application, currently has also over 200,000 downloads with 5,000 DAUs and 2M Monthly App Event Counts.

ConnectUpz is also one of the 3 selected technology partners that is working with IMDA, ESG and Heartland Enterprise Singapore to help digitise the Singapore heartlands.



We are looking to make a difference in the digitization journey of 70% of service and retail businesses that have been left out. These are mostly Non F&B or Beauty related businesses. (e.g. personal trainer, wheelchair transport, pool cleaning, laundromat, house cleaning, home bakery, etc.)",,"ConnectUpz, helps to promote niche businesses to their local community of shoppers that are already scanning QR codes.",Advertising Consumer Mobile Platform Retail Sharing Economy Software as a Service,https://e27.co/startups/connectupz
13,Anggun Murwati,Carbonate,https://carbonateapp.com,,,February 2019,Singapore,"Founded in 2015, Soda in Mind is a software organization based in Singapore that offers a piece of software called Carbonate HR. Carbonate HR offers business hours support. Carbonate HR features training via documentation, live online, and in person sessions. The Carbonate HR software suite is SaaS, Android, iPhone, and iPad software. Carbonate HR is human resources software, and includes features such as benefits management, compensation management, employee database, payroll management, performance management, time & attendance management, and time off management.",,"Carbonate provides a powerful end-to-end human resource management system to businesses of all types. With its cutting-edge technology, Carbonate enables companies to streamline workforce processes.",Human Resources Information & Communications Technology,https://e27.co/startups/carbonate
14,"Amos Tio,Fazli Raziq,Alex Shchetinin,Fazli Raziq,Alex Shchetinin,Alex Shchetinin",Feeders Pte Ltd,http://www.ourfeeders.com,,,October 2019,Singapore,Feeders is an industry AI application that provides insight into the electric grid using our predictive analysis algorithm to generate actionable data to assist electric utilities addressing the annual inspection market that is worth US$1trillion,,We save lives and electric grid with AI.,Artificial Intelligence Energy Enterprise Solution Platform Software as a Service,https://e27.co/startups/our-feeders
15,"Jerick Mangalus,Fatima Dominique Dizon Merin,Wencis Jude Acosta,Jairus Bondoc,Rev Gutierrez,Fatima Dominique Dizon Merin,Wencis Jude Acosta,Jairus Bondoc,Rev Gutierrez,Wencis Jude Acosta,Jairus Bondoc,Rev Gutierrez,Jairus Bondoc,Rev Gutierrez,Jairus Bondoc,Rev Gutierrez,Jairus Bondoc,Rev Gutierrez",NMGResources Inc.,http://nmgresources.ph,,,February 2005,Philippines,"Founded in 2006, NMGResources Inc. is a product and software development outsourcing company that aims to deliver high quality and cost effective Internet products and services. It caps the production of dynamic and interactive websites and Internet/Intranet applications, as it also renders superior and inventive services from Information Systems maintenance to offshore web staffing.
 
On software development, NMG boasts its expertise on open source technologies like LAMP (Linux, Apache, MySQL and PHP) for its web-based applications development and Asterisk on PABX administration system development and VoIP installations. NMG uses the Waterfall software lifecycle methodology and MVC Architecture for quality assurance and rapid delivery.
 
Upon investing of Filipino's visual arts talents, web design, logo making and other digital arts has also become NMG's expertise. NMG is confident of providing the best design solutions in static images, HTML and even animations.
 
NMG's main goal is to promote interactivity, robust functionality as well as user-friendliness through its products and services that meet and satiate every client's expectations accordingly, with full accountability sans errs and delays. They seriously believe in such proverbial adage that the customer is always right. That's why the company puts the clients at the top of its list, as it aims to meet the clients' utmost standards, helping them facilitate and develop their businesses through its maximized efforts.",,NMGResources Inc. is a product and software development outsourcing company that aims to deliver high quality and cost effective Internet products and services.,Agency & Consulting Human Resources Information & Communications Technology,https://e27.co/startups/nmgresources-inc
16,Handri Haryanto,Bantoo Indonesia,https://www.bantoo.id,,,August 2020,Indonesia,"We provide platform that channel goodness.  We believe that small act matters.  We operate in social media, targeting post millennials to do goodness and share their happiness to others. Bantoo.id started small in July 2020.",,"We are the first online giving platform in Indonesia, expanding the universe of crowdfunding into crowd giving for bigger user and potential revenue",Platform Sharing Economy Agency & Consulting Healthtech Insurtech,https://e27.co/startups/bantoo-indonesia
17,Sylvester Pillay,Talentora,http://www.talentora.co,,,February 2016,Singapore,"Talentora is on a mission to connect masses of talented people in Asia through a mobile app. It allows for a large connected and profiled community. Users will be able to share their unique talent through creative 10-second videos, discover other users as well as chat. In addition, talent-seekers can offer jobs and talents can apply for those jobs in film, print, music, tv, theatre, radio and events.",,"A mobile app connecting talents and talent-seekers in Asia through creative videos, talent discovery and jobs. Talentora strives to become a large mobile video and talent platform in Asia.",Entertainment Human Resources Media Mobile Platform,https://e27.co/startups/talentora
18,Dimas Siregar,UangTeman,https://uangteman.com/en,,,April 2015,Indonesia,"UangTeman is an online loan platform in Indonesia owned by PT Digital Alpha Indonesia, a subsidiary of Digital Alpha Group Pte Ltd. With its data-based algorithms, UangTeman provides transparent short-term micro loans for consumers and MSMEs. UangTeman has been licensed and supervised by the Financial Services Authority (OJK) as an online peer-to-peer lending service, in accordance with 77/2016 OJK Regulations. For more information visit the site www.uangteman.com.",,"UangTeman is an online loan platform in Indonesia by PT Digital Alpha Indonesia, a subsidiary of Digital Alpha Group Pte Ltd., and has been licensed and supervised by the Financial Services Authority.",Finance Mobile Information & Communications Technology,https://e27.co/startups/UangTeman
19,Ubaidillah Mufnil Afif,Mangdropship,https://mangdropship.id,,,August 2019,Indonesia,"Mangdropship is an online market that provides a place for individuals and small & medium business owners to establish cooperation in the field of sales based on Dropshipping for free,

Mangdropship, wants to make a new trade with shipping methods from small and medium-sized companies to buyers of mangdropship dropshipping members. traders and consumers for the economic future.

Mangdropship's mission is to build an ecosystem where anyone can start an online sales business that does not require stock of goods to sell but has been provided by Mangdropship from supported small and medium enterprise vendors. We believe the market is the most possible business model in the world because supporting the market can only succeed by making others more successful.",,The B2C Digital Marketplace platform uses the dropshiping method in Indonesia,E-commerce Marketplace Retail,https://e27.co/startups/mangdropship
20,Himalyan Acoustics,Himalyan Acoustics,https://www.himalyanacoustics.com,,,April 2006,India,Himalyan Acoustics is a premium brand of acoustic tiles and soundproofing materials. As a leading manufacturer of acoustic products “Kool Pack and Allied Industries” is manufacturing high-quality acoustic materials for more than ten years. This premium quality wood fiber cement composite is manufactured with European Technology which gives the end product excellent absorption and insulation values.,,We crate your Imagination!,Manufacturing Consulting,https://e27.co/startups/himalyan-acoustics
21,Ravi Bhanu,TrendyPuff,https://www.trendypuff.com,,,September 2017,India,"TrendyPuff offers web design & development, mobile app development, custom software development, digital marketing services in India. We have a team of experts who have experience in their respective fields. We ensure you that our web designing & development and SEO services help you to achieve your business goal.",,"TrendyPuff offers web design & development, mobile app development, custom software development, digital marketing services in India.",Internet of Things Design Information & Communications Technology,https://e27.co/startups/trendypuff
22,"Yassine Belmamoun,Jérémy Fichet,Stacy Lee,Jérémy Fichet,Stacy Lee,Stacy Lee",Manatal,https://www.manatal.com/,,,July 2018,Thailand,"Manatal is the next generation of recruitment software. Easy to implement and built with the latest technologies, the platform was designed to streamline and simplify recruitment processes from sourcing to onboarding and beyond.

Hire better and faster by funneling your recruitment channels into one intuitive platform. Leverage AI tools and social media enrichment features, manage your team remotely and improve collaboration, take advantage of a full reporting suite, and much more.

Transform the way you recruit with the ultimate cloud-based hiring tool and drive your recruitment metrics to new highs!",,"Manatal is a leading AI based recruitment SaaS.
Headquartered in Bangkok. Clients in 60+ countries.",Artificial Intelligence Big Data Human Resources Productivity & CRM Software as a Service Enterprise Solution Information & Communications Technology,https://e27.co/startups/manatal
23,Digitally Learn  Knowledge is Empower,Digitally learn,https://digitallylearn.com,,,October 2017,India,"Education gives us a knowledge of the world around us and changes it into something better. It develops in us a perspective of looking at life. It helps us build opinions and have points of view on things in life. People debate over the subject of whether education is the only thing that gives knowledge.

Benefits of Education are Societal and Personal. Those who get an education have higher incomes, have more opportunities in their lives, and tend to be healthier. Societies benefit as well. Societies with high rates of education completion have lower crime, better overall health, and civic involvement.

Transforming education and providing knowledgeable articles with hands on and technology based learning solutions in across the world. Digitally Learn is an educational technology Website. Started in 2017 it is a platform that offers online educational news and media. Digitally learn educators consist of either students who have cleared various exams or mentors who have teaching experience. online learning is more flexible than classroom based learning.

Why online Education Better ?
Gives Flexibility. Students have the freedom to juggle their careers and school because they aren't tied down to a fixed schedule. 
Reduced Costs. Online education can cost less due to a variety of reasons. ...
Networking Opportunities.
Documentation. 
Increased Instructor - Student Time. 
Access to Expertise.

It also provides room for a student to be responsible, to learn self-motivation and self-discipline. The primary disadvantage of online learning is how it is impersonal, unlike in-class education wherein there is actual face-to-face interaction between student and instructor.

Online learning can be as good or even better than in-person classroom learning. Research has shown that students in online learning performed better than those receiving face-to-face instruction, but it has to be done right.",,Transforming education and providing knowledgeable articles with hands on and technology based learning solutions in across the world. Digitally Learn is an educational technology Website.,Education,https://e27.co/startups/digitallylearn
24,"Wanlyn Tiberghien,Thibaut Tiberghien,Thibaut Tiberghien",Smplrspace,http://www.smplrspace.com,,,June 2019,Singapore,"How many properties did you visit the last time you tried to buy a home? Property advertising mediums focus on design and furnishing, leaving space and layout as an afterthought. Both agents and home buyers end up attending more viewings than necessary. 

Smplrspace is an affordable and easy-to-use web application that allows real estate agents to create interactive 3D listings by sketching from 2D floor plans, no training required. 3D listings can be sent instantly using shared links, or embedded in any website. Visualizing layouts allows home buyers to eliminate options early on and attend visits selectively. Agents narrow down and focus on sincere prospects.",,"Smplrspace is a web-based studio that lets real estate agents sketch and share links to 3D properties instantly, helping them narrow down on sincere prospects with unrivalled ease.",Software as a Service Real Estate,https://e27.co/startups/smplrspace
25,Skillcard Inc.,Mobreel (Sociable Mobile Ecommerce!),https://e27.co/startups/mobreel/,,,February 2020,Singapore,"“Traditional online shopping is a thing of the past”. Mobreel's mission is simple: to add a human touch to mobile commerce through advanced disruptive social immersive technology. Our mobile-first ecommerce platform connects consumers and businesses to create truly interactive and exciting online shopping experiences. Our Stanford affiliated founders and advisors cover Southeast Asia and US. We are about to launch on the appstores in 4 weeks' time and traction will follow. We are currently in stealth mode, please connect with us for info.

Our A team
We met in Stanford university through entrepreneurship major
CEO - Asian serial entrepreneur with 10+ years business sales and mobile product development experience and currently generating multimillion revenues for services business, looking to venture into productized business. Headed DBS regional digibank mobile app in 6 countries, before deciding to start own company
CFO - Technology investment banker with 5+ years of M&A experience in the investment bank in US, deal size 50-100million USD
CTO - To convert to full-time upon funded. Lead machine AI engineer at Grab. Ex apple senior machine learning, ex google software engineer, ex pioneer machine learning engineer for a startup acquired by Apple. Dean's lister in NUS Comp Sci.
Head of Engineering - 20+ years experience as SA in Fortune 100 company in immersive 3D AR MNC, holds MBA and based in Silicon Valley with 5 patents filed
Formal Advisor - Ex Stanford alumni, the top student in Stanford and Cornell, VP and ex director of Fortune 50 companies in Silicon Valley
Informal Advisor - Stanford alumni based in Silicon Valley who was a member in a series of successful startups exiting at $10 billion",,Stanford Alumnis Create Mobile-First Immersive Social Ecommerce,E-commerce Mobile Information & Communications Technology,https://e27.co/startups/mobreel
26,Leslie Wong,HELLOSME PTE. LTD.,http://www.hellosme.com,,,August 2017,Singapore,"HelloSME's mission is to help SMEs Go Digital, Go Regional by aggregating their digital needs. We aim to bring FTP (Fast Trade & Procurement) Ecosystem built on Blockchain technology to transform and enhance the traditional procurement process so as to make it efficient, scalable, secure and trackable to businesses. Through the members-only platform, our strategic partners & customers (buyers & sellers) can perform in-country & cross-border transactions with ease & confidence.

FTP is a horizontal SaaS (Software-as-a-Service) built on Blockchain technology to enhance procurement efficiency, allowing scalability, security & trackability to businesses.  Currently we have 2 use cases: SemiConductor (www.hellosme.com) and Medical Healthcare (www.hellomedicalppe.com).  The 6 key unique features of FTP is that it enhances Closed-Loop Transactions between buyers and sellers in a seamless way, providing the benefits of RDS Contract, Payment Gateway, End-to-End Digital Integration and Basic KYC to all aspects of businesses.

HelloSME's FTP Solutions to Medical PPE products : 
1.	US FDA, European CE and Country Certification logged on blockchain; Suppliers agree to factory audit and inspections.
2.	RDS Smart Contract tracks delivery and payment promptness on blockchain - buyers/sellers will be rated.
3.	KYC - our basic KYC will help to weed out the shady suppliers from the quality ones.

Signed 20 Strategic partners for ASEAN and Greater China including MSIG, Berkley Insurance Asia, OFX, GoGoX Singapore, airSlate, Funding Societies, FTP Discounting powered by Jedtrade, Tokio Marine, ChinaTrust Banking Group (ASEAN & Greater China), GoGoX Taiwan.

The Management Team has solid marketing, IT and financial services know-how and a strong background in Blockchain technology and development.

We have just completed a FTP Soft Launch in July 2020.",,"FTP is a horizontal SaaS built on Blockchain technology to enhance procurement efficiency, allowing scalability, security & trackability to businesses with 2 use cases: SemiCon & Medical Healthcare.",Software as a Service Blockchain Logistics/Supply Chain,https://e27.co/startups/hellosme-pte-ltd
27,Hak Wei Goh,LIRON LIB POWER Pte Ltd,http://www.liron.life,,,May 2017,Singapore,"LIRON Power is a Singapore based Deep-Tech Company focusing on research, design, development and manufacturing of next generation rechargeable Lithium-Ion battery cells and packs. Incorporated in 2017, LIRON focuses on High Performance cells with long cycle life, high discharge rate, super safe performance and fast charging capabilities. These are suitable for wide range of application from ESS( Energy Storage System) to E-mobilities ( EV, E-bike, E-scooter etc.) 

Partnering with various top research institutes like A*STAR. LIRON's lab has developed working prototypes of next-gen Lithium Titanium Oxide battery cells.
Looking ahead, LIRON aims to set up it's pilot line facilities in Singapore which can produce 6000 cells a day before embarking on it's Mass Production Line (Giga Factory).",,"LIRON Power, a Singapore based battery company is looking to set up its Pilot Line capable of manufacturing 6000 battery cells a day. Next-Gen batteries for energy storage and e-mobility. Join us !",Cleantech Energy Manufacturing,https://e27.co/startups/liron-lib-power-pte-ltd
28,"Jiacai Lau,Tylor Jong,Nicholas Lim,Tylor Jong,Nicholas Lim,Nicholas Lim",TreeDots,https://www.thetreedots.com/,,,January 2018,Singapore,"TreeDots is Asia’s first B2B platform that facilitates the transactions unsold and imperfect food supplies. Our mission is to tackle the colossal issue of food loss by leveraging on technology to better match supply and demand, and streamline transactions. We are the industry's food meister to help our suppliers recover cost from perfectly edible, imperfect and unsold inventory, and to assist food service providers in sourcing for affordable food supplies, while fulfilling our mission to save our dear planet.

TreeDots was the winner (Judge's Choice) of e27's Echelon Asia 2018 pitching competition.",,Asia’s first B2B platform that facilitates the transactions unsold and imperfect food supplies.,E-commerce Enterprise Solution Food & Beverage Logistics/Supply Chain Marketplace Platform Social Enterprise,https://e27.co/startups/treedots
29,Andrew Rigmen,PB DIGITALS,https://pbdigitals.com/service/ecommerce/,,,March 1990,India,"eCommerce Website Services and eCommerce development Solutions Hyderabad with Design, Hosting, Development,SEO PPC,and an effective solution For businesses.",,ecommerce Website & App Development Service Provider Hyderabad,Advertising E-commerce,https://e27.co/startups/pb-digitals
30,Ken Tan,Navisteps,https://www.navisteps.com,,,July 2019,Singapore,"Navisteps is an integrated business expense and travel management solution designed to control corporate expense budgets effortlessly, automate expense reporting, manage business trips and provide meaningful insights. Our goal is to help companies save time, money and make their employees happy!",,Navisteps is an integrated expense and travel management solution powered through cloud,Enterprise Solution Information & Communications Technology Software as a Service,https://e27.co/startups/navisteps
31,"Dan Lee,Elvis Lau,Jasmine Chu,Elvis Lau,Jasmine Chu,Jasmine Chu",Delvify,https://delvify.ai/,,,January 2019,Hong Kong,"We are a pioneer in natively built AI tools. Headquartered in Hong Kong with a research and development hub in Singapore. We have over 30 years of management experience with state of the art computer vision, natural language processing, audio speech recognition, eCommerce and digital advertising. The winner of several global competitions from our Research and Development hub in Singapore.",,Delve into AI at Scale with Delvify. Drive business growth using the very latest advances in Artificial Intelligence. Transform your business with AI powered solutions.,Artificial Intelligence Advertising E-commerce,https://e27.co/startups/delvify
32,Maxim Tolmachev,Uniqa,https://uniqa.ai/,,,August 2019,Kazakhstan,"For 8 years we ran an IT-outsourcing company serving multinational corporations like Sanofi, Santo, Stada, Mayo Clinic, JTI, TeliaSonera. Our team has brilliant relevant experience. We have worked with the farm. companies, retail companies, a professional team of ML-engineers, hardware-engineers, medical advisers are building our project. 

We’ve developed an MVP and started validating the hypotheses. We’ve chosen pharmacy retail as a starting point. Now, we are finalizing negotiations with one of the leaders of the pharmacy industry - Sanofi, Santo and Takeda to start a pilot. 

We will test the SaaS business model. We’ve connected 2 drug store chains and plan to cover 50% of the main drug store chains of the country by the end of year. We gather data about 6,000 consumers from 1 drug store in a month.",,"We’ve built a solution for producers and store owners to measure consumers’ behavior, demands, marketing effectiveness, and other metrics in offline stores.",Artificial Intelligence Big Data Enterprise Solution Hardware Internet of Things Retail Human Resources,https://e27.co/startups/uniqa
